시도,시군구,지역화폐명,site,content,,,소관기관,신청방법: 구비서류,접수/문의: 접수기관,주요내용: 접수기관,주요내용: 지원형태,지원내용: 지원내용,지원대상: 중복혜택 안돼요,지원대상: 지원대상,신청기간,신청방법,문의처
인천,n,인천e음,https://www.gov.kr//portal/rcvfvrSvc/dtlEx/628000000139?administOrgCd=,인천e음 전자상품권 사용자에게 캐시백 지원,,,인천광역시,정보 없음,온라인 신청,정보 없음,이용권,"○ 인천e음 사용 시 월 30만원 한도 내 10% / 5% 캐시백 지원(인천시 정책에 따라 변동 가능)   * 연매출 3억원 이하 가맹점 사용 시 10% / 3억 초과 ~ 30억원 이하 가맹점 사용 시 5% / 30억원 초과 가맹점 사용시 0%   * 상생가맹점에서 결제 시 1% ~5% 추가 캐시백 혜택    ○ 인천e음 기반 부가서비스 운영   * 배달e음(공공배달서비스), 인천직구(지역쇼핑몰), e음택시(택시호출서비스), 나눔e음(기부서비스), e음장보기(장보기 서비스)",정보 없음,"○ 인천시민, 관내 소상공인",상시신청,"- 스마트폰에서 인천e음 앱을 다운로드 한 후, 회원가입 진행  - 절차에 따라 '카드신청' 후 카드등록",인천e음 고객센터 (☎1811-8668)
세종,n,여민전,https://www.gov.kr//portal/rcvfvrSvc/dtlEx/569000000353?administOrgCd=,만 14세 이상 사용자가 여민전 결제 시 5% 캐시백 지원,,,세종특별자치시,정보 없음,온라인 신청,정보 없음,이용권,"○ 소비자가 상품권을 구매(월 30만원)하여 지역내 가맹점에서 결제 시 결제금액의 5% 캐시백(월 1만5천원) 지급   ※ 소비자 구매한도 및 캐시백률은 세종시 정책에 따라 변동 가능, 월 예산 소진 시 상품권 구매 불가",정보 없음,○ 만 14세 이상 상품권을 충전하여 사용하는 자,상시신청,"○ 온라인 신청 - 스마트폰 여민전 앱, 관내 농협·하나은행 방문하여 여민전카드 발급 신청 후 여민전 앱에서 상품권 충전",여민전 콜센터 (☎1577-5628)
부산,n,동백전,https://www.gov.kr//portal/rcvfvrSvc/dtlEx/626000000125?administOrgCd=,동백전 결제시 시민에게 캐시백 지원,,,부산광역시,정보 없음,온라인신청,정보 없음,이용권,"○ 부산지역화폐 동백전으로 결제할 경우, 월 30만원~100만원 충전금액 한도 내에서 5~10% 캐시백 지원(부산시 정책에 따라 변경)",정보 없음,○ 동백전 결제 시민  ○ 동백전 결제 가능 지역 소상공인 가맹점,상시신청,"○ 이용시민   - 온라인 : 동백전 앱 - 오프라인 : 부산은행, 하나은행, 농협    ○ 지역소상공인   - 온라인 : 동백전 앱, 동백전 홈페이지 - 오프라인 : 부산은행",중소상공인지원과 (☎051-888-4794)
경기,양주,양주사랑카드,https://www.gov.kr//portal/rcvfvrSvc/dtlEx/559000000136?administOrgCd=,지역화폐 이용자에게 일반 충전액의 6~10%의 인센티브 지원,,,경기도 양주시,정보 없음,"관내 농협, 신협, 새마을금고 지점 30개소","관내 농협, 신협, 새마을금고 지점 30개소",이용권,○ 지역화폐 일반 충전액의 6~10% 인센티브 지원,정보 없음,○ 만 14세 이상 국민 중 지역화폐 이용 희망자   - 거주지 제한 없음,상시신청,"○ 온라인 신청   - url 주소 : https://gmoney.usersite.co.kr/  ○ 오프라인 신청   - 관내 농협, 신협, 새마을금고 지점 30개소",일자리경제과 (☎031-8082-6033)
경기,군포,군포애머니,https://www.gov.kr//portal/rcvfvrSvc/dtlEx/402000000117?administOrgCd=,지역화폐를 이용하는 시민에게 인센티브 지원,,,경기도 군포시,-,정보 없음,정보 없음,기타,"○ 지역화폐 발행 인센티브 지원   - 발행형태 : 선불형 충전식 카드(유효기간 : 5년)   - 인센티브 : 평시 6-7% (특별이벤트시 : 10%)   - 구매한도 : 1인당 월 50만원 ※예산 상황에 맞춰 변동가능, 충전 시 인센티브 한도 확인 필수   ○ 지역화폐 회원등록   - 자격 : 본인 명의의 은행계좌를 가지고 있는 만 14세 이상이면 누구나   - 방법 : 스마트폰 경기지역화폐앱 설치 또는 NH농협은행에서 발급(지역화폐 카드단말기 설치된 농협)    ○ 지역화폐 사용처 : 군포시 관내 카드단말기가 설치되어 있는 연매출 12억 이하 소상공인 점포   ※대형마트, 기업형 슈퍼마켓 및 유흥업소, 사행성업소 등 일부업종 사용제한",정보 없음,본인 명의의 은행계좌를 가지고 있는 만 14세 이상이면 누구나,상시신청,"택1  - 스마트폰 '경기지역화폐앱' 설치 후 카드발급, 충전  - NH농협은행에서 카드발급, 충전(지역화폐 카드단말기 설치된 농협)",지역경제과 (☎031-390-0267)고객센터 (☎1899-7997)
경기,여주,여주사랑카드,https://www.gov.kr//portal/rcvfvrSvc/dtlEx/570000000113?administOrgCd=,"소비자에게 지역화폐 인센티브 제공, 가맹점(사용처)에는 매출증대 등 혜택 지원",,,경기도 여주시,○ 가맹점(사용처)   - 사업자등록증   - 대표자 신분증,"주민센터,시·군·구청","주민센터,시·군·구청",이용권,관내 지역화폐 정책 수립 및 업무추진,결제·충전 이벤트 중복당첨 불가,○ 여주사랑카드 사용자 및 가맹점(사용처),상시신청,○ 방문 신청   - 가맹점(사용처): 읍/면/동 행정복지센터로 신청 및 여주시청 일자리경제과,일자리경제과 (☎031-887-2274)일자리경제과 (☎031-887-2937)
충남,부여,굿뜨래페이,https://www.gov.kr//portal/rcvfvrSvc/dtlEx/457000000102?administOrgCd=,부여군 지역화폐 이용자에게 인센티브 지원,,,충청남도 부여군,해당없음,해당없음,정보 없음,이용권,○ 지역화폐 구매 및 이용시 인센티브 지원 (지급한도 월 70만원)   가. 충전인센티브 : 3~10%(변동가능)   나. 소비인센티브 : 0~7%(변동가능)   - 매출 4천만원 이하 가맹점 구입시 지급,정보 없음,○ 부여군 지역화폐 이용자,상시신청,○ 개인 신청절차 없음   - 별도 신청 불필요,굿뜨래페이 콜센터 (☎02-6225-3125)굿뜨래페이 콜센터 (☎041-830-2270)
강원,영월,영월별빛고운카드,https://www.gov.kr//portal/rcvfvrSvc/dtlEx/427000000209?administOrgCd=,주민에게 결제금액의 6~10%를 인센티브로 지급하는 지역화폐,,,강원특별자치도 영월군,정보 없음,"온라인 신청 ""그리고"" 앱,시·군·구청","온라인 신청 ""그리고"" 앱,시·군·구청",이용권,○ 대상 : 영월군 지역화폐 사용자    ○ 지원 : 결제금액의 6%~10% 인센티브 지원,정보 없음,○ 관내 주민,상시신청,"○ 온라인 신청   - ""그리고"" 앱",산업경제과 지역경제팀 (☎033-370-2751)고객센터 (☎1811-6663)
서울,강남,강남사랑상품권,https://www.gov.kr//portal/rcvfvrSvc/dtlEx/322000000103?administOrgCd=,"소비자에게 할인 및 소득공제 혜택, 가맹점에 수수료 절감 혜택 등 제공",,,서울특별시 강남구,정보 없음,온라인신청,정보 없음,이용권,○ 가맹점 : 결제수수료 0% 및 매출증대    ○ 소비자 : 할인혜택 5% 및 소득공제 30% 제공,정보 없음,○ 만 14세 이상이면 누구든지 구입 충전 가능,상시신청,"○ 온라인 신청   - 가맹점 : 서울페이 플러스 서비스센터(1600-6120)   - 소비자 : 스마트폰에서 서울페이 플러스 어플 다운로드, 회원가입",지역경제과 (☎02-3423-5496)
인천,연수,연수e음,https://www.gov.kr//portal/rcvfvrSvc/dtlEx/352000000102?administOrgCd=,캐시백 제공,,,인천광역시 연수구,"스마트폰으로 ""인천e음"" 어플리케이션 다운로드 후, 연수e음 카드 신청   ※스마트폰 미 소지시, 인천시 내 농협은행에서 신청 가능  - (관내 7개지점) 동춘동지점, 연수지점, 송도캠퍼스타운지점, 송도GCF지점, 송도웨스턴파크지점, 송도시티지점, 송도지점",인천e음 앱 신청,정보 없음,이용권,"○ 모바일앱을 통해 연수e음 카드(연수구 전자상품권)에 돈을 사전 충전하여 결제하는 시스템으로,    - 30만원 한도내에 최대 10% 캐시백 제공    - 상생 가맹점 이용시, 추가 2% 캐시백 제공",정보 없음,○ 만14세 이상 발급 가능,상시신청,"○ 인천e음 앱 다운로드 후 회원등록 및 카드발급 신청    ※ 스마트폰 미소지자의 경우 인천시 내 농협은행에서 발급 가능  - (관내 7개지점) 동춘동지점, 연수지점, 송도캠퍼스타운지점, 송도GCF지점, 송도웨스턴파크지점, 송도시티지점, 송도지점",연수구청 경제산업과 (☎032-749-7792)
